id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
15,Ødegaard,Martin,Ødegaard,1,3,67,2,0,a,,,,6.8,27,6.8,305,4,18.6,41032,7859,2,0,3,1,0,0,0,6,127,102.4,102.5,66.0,27.1,1.01,1.25,2.26,0.3,0.37,0.67,0.68,21,6.2,3,,4,4.0,6.8,6.8
16,Madueke,Noni,Madueke,1,3,63,-2,0,a,,,,0.5,2,1.0,23,0,0.2,68,458,0,0,0,0,0,0,0,0,11,11.6,43.9,0.0,5.6,0.00,0.05,0.05,0.0,0.2,0.2,0.59,3,11.74,,5,,0.3,0.5,0.5
17,Merino,Mikel,Merino Zazón,1,3,58,-2,0,a,,,,0.8,3,0.8,51,0,0.4,163,978,0,0,0,0,1,0,0,0,15,6.4,3.3,14.0,2.4,0.14,0.02,0.16,0.25,0.04,0.29,0.46,6,10.59,,,,0.5,0.8,0.8
18,Martinelli,Gabriel,Martinelli Silva,1,3,63,-2,0,u,0,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,0.0,0,0.0,0,0,0.1,0,254,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
19,Zubimendi,Martín,Zubimendi Ibáñez,1,3,53,-2,-1,a,,,,1.0,4,1.0,59,0,0.7,127,1285,0,0,0,0,0,0,0,0,14,10.0,4.0,11.0,2.5,0.08,0.04,0.12,0.12,0.06,0.18,1.1,11,16.78,,,,0.8,1.0,1.0
20,Dowman,Max,Dowman,1,3,53,-2,0,a,,,,0.0,0,0.0,0,0,0.1,62,128,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
22,Nwaneri,Ethan,Nwaneri,1,3,54,-1,0,u,0,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,0.0,0,0.0,0,0,0.0,0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,55,0,0,u,0,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,0.0,0,0.0,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
24,Nelson,Reiss,Nelson,1,3,55,0,0,u,0,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,0.0,0,0.0,0,0,0.0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
25,Gyökeres,Viktor,Gyökeres,1,4,72,-3,0,a,,,,0.2,1,1.0,12,0,3.6,461,6977,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.82,1,7.5,2,,,0.1,0.2,0.2
26,Havertz,Kai,Havertz,1,4,76,1,1,a,,,,4.2,17,4.2,347,4,8.1,14693,7861,2,0,3,1,1,0,0,2,77,82.6,53.6,105.0,24.1,0.92,0.35,1.27,0.24,0.09,0.33,0.63,10,2.59,,,,2.2,4.2,4.2
27,G.Jesus,Gabriel,Fernando de Jesus,1,4,59,-1,0,u,0,Has joined FC Barcelona permanently,2026-09-02T16:00:28.475184Z,0.0,0,0.0,0,0,0.2,0,375,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
31,Konsa,Ezri,Konsa Ngoyo,1,2,45,0,0,a,,,,2.8,11,3.7,191,2,17.1,43087,4565,0,0,1,1,0,0,0,0,34,22.6,1.5,4.0,2.8,0.00,0.01,0.01,0.0,0.0,0.0,0.96,20,9.42,,,,2.4,2.8,2.8
452,Bruno G.,Bruno,Guimarães Rodriguez Moura,1,3,67,-3,-1,a,100,,2026-09-04T14:00:08.328779Z,2.2,9,4.5,64,0,1.7,1554,1817,1,0,0,0,0,0,0,2,34,1.4,0.8,2.0,0.4,0.07,0.15,0.22,0.1,0.21,0.31,2.12,6,8.44,4,4,,1.3,2.2,2.2
557,Tzolis,Christos,Tzolis,1,3,64,-1,0,a,,,,3.5,14,3.5,290,4,15.8,4256,31604,0,2,2,1,2,0,0,1,72,47.6,101.6,38.0,18.8,0.19,0.46,0.65,0.06,0.14,0.2,0.54,20,6.21,,3,,2.2,3.5,3.5
29,M.Bizot,Marco,Bizot,2,1,45,0,0,a,,,,0.2,1,1.0,90,1,0.1,47,155,0,0,0,4,0,0,3,0,1,28.2,0.0,0.0,2.8,0.00,0.00,0.00,0.0,0.0,0.0,3.77,0,0.0,,,,0.2,0.2,0.2
30,Digne,Lucas,Digne,2,2,45,0,0,u,0,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0.0,0,0.0,0,0,0.1,0,76,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
32,Cash,Matty,Cash,2,2,45,0,0,d,75,Muscular injury - 75% chance of playing,2026-09-09T14:30:08.192142Z,1.8,7,2.3,251,3,6.0,155,16767,0,0,1,5,1,0,0,0,23,32.4,19.2,13.0,6.5,0.15,0.04,0.19,0.05,0.01,0.06,1.8,14,5.02,,1,,1.6,1.4,1.4
33,Mings,Tyrone,Mings,2,2,45,0,0,a,,,,1.8,7,2.3,171,1,0.4,317,520,0,0,1,2,1,0,0,0,33,16.8,4.4,13.0,3.4,0.20,0.02,0.22,0.11,0.01,0.12,1.51,11,5.79,,,,1.6,1.8,1.8
34,Pau,Pau,Torres,2,2,45,0,0,d,75,Hamstring injury - 75% chance of playing,2026-09-12T18:00:08.712707Z,0.8,3,1.0,187,3,0.4,134,814,0,0,0,5,0,0,0,0,-4,11.0,1.5,0.0,1.2,0.00,0.01,0.01,0.0,0.0,0.0,2.31,9,4.33,,,,0.7,0.8,0.6
35,Bogarde,Lamare,Bogarde,2,3,50,0,0,a,,,,0.2,1,1.0,16,0,0.1,64,120,0,0,0,0,0,0,0,0,3,2.2,0.5,0.0,0.3,0.00,0.00,0.00,0.0,0.0,0.0,1.24,1,5.62,,,,0.2,0.2,0.2
36,Maatsen,Ian,Maatsen,2,2,45,0,0,d,25,Ankle injury - 25% chance of playing,2026-09-12T18:00:08.729468Z,2.2,9,2.2,335,4,0.8,445,2947,0,0,1,7,1,0,0,1,22,24.6,21.1,19.0,6.4,0.28,0.45,0.73,0.08,0.12,0.2,1.76,24,6.45,,,,2.0,2.2,0.6
37,Lindelöf,Victor,Lindelöf,2,2,45,0,0,a,,,,1.8,7,1.8,360,4,0.3,326,251,0,0,1,7,0,0,0,0,27,39.2,26.2,2.0,6.7,0.44,0.17,0.61,0.11,0.04,0.15,1.92,16,4.0,,,,1.6,1.8,1.8
38,A.García,Andrés,García,2,2,40,0,0,a,,,,0.0,0,0.0,0,0,1.6,1139,1392,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
39,Nedeljkovic,Kosta,Nedeljkovic,2,2,40,0,0,u,0,Has joined Rangers on loan for the rest of the season,2026-08-19T13:56:46.385411Z,0.0,0,0.0,0,0,0.1,0,142,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
41,Buendía,Emiliano,Buendía Stati,2,3,59,-1,0,a,,,,2.2,9,2.2,311,4,1.0,398,3081,0,0,1,6,0,0,0,0,23,5.0,40.3,24.0,6.3,0.78,0.17,0.95,0.23,0.05,0.28,1.82,19,5.5,1,3,1,1.5,2.2,2.2
44,Bailey,Leon,Bailey,2,3,54,-1,0,u,0,Has joined Olympiakos permanently,2026-09-04T12:35:14.472260Z,0.0,0,0.0,0,0,0.1,0,248,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
45,McGinn,John,McGinn,2,3,54,-1,0,a,,,,2.8,11,2.8,351,4,2.3,1741,2428,0,1,1,7,2,0,0,1,46,3.0,20.0,15.0,3.3,0.77,0.20,0.97,0.2,0.05,0.25,1.93,24,6.15,,2,,2.0,2.8,2.8
46,Barkley,Ross,Barkley,2,3,50,0,0,a,,,,2.2,9,2.2,302,4,0.3,223,413,0,0,1,6,0,0,0,0,63,35.8,78.8,24.0,13.9,0.38,0.14,0.52,0.11,0.04,0.15,1.96,24,7.15,,4,,1.8,2.2,2.2
47,Kamara,Boubacar,Kamara,2,3,50,0,0,a,100,,2026-07-23T12:01:23.337269Z,2.2,9,2.2,360,4,0.3,250,544,0,0,1,7,0,0,0,0,59,35.4,43.2,0.0,7.9,0.00,0.15,0.15,0.0,0.04,0.04,1.92,30,7.5,,,,1.8,2.2,2.2
48,Onana,Amadou,Onana,2,3,49,-1,-1,i,0,Knee injury - Unknown return date,2026-07-23T12:01:23.352497Z,0.0,0,0.0,0,0,0.0,8,30,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
49,Iling Jr,Samuel,Iling-Junior,2,3,50,0,0,u,0,Has joined Bolton Wanderers on loan for the rest of the season,2026-08-17T13:52:28.532616Z,0.0,0,0.0,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
50,Burrowes,Bradley,Burrowes,2,3,45,0,0,a,,,,0.0,0,0.0,0,0,0.6,309,838,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
51,George Hemmings,George,Hemmings,2,3,45,0,0,a,,,,2.0,8,2.0,279,4,1.3,2010,1606,0,0,1,5,0,0,0,0,32,23.2,29.4,23.0,7.5,0.07,0.16,0.23,0.02,0.05,0.07,1.74,19,6.13,,,,1.8,2.0,2.0
52,Alysson,Alysson Edward Franco,da Rocha dos Santos,2,3,50,0,0,a,,,,2.0,8,2.0,87,0,0.0,173,36,1,0,0,2,1,0,0,0,34,5.4,2.6,2.0,1.0,0.06,0.00,0.06,0.06,0.0,0.06,2.48,8,8.28,,,,1.6,2.0,2.0
53,Manzambi,Johan,Manzambi,2,3,59,-1,0,a,100,,2026-08-15T15:30:06.388335Z,0.2,1,1.0,27,0,0.1,222,133,0,0,0,1,0,0,0,0,3,0.0,0.0,0.0,0.0,0.00,0.08,0.08,0.0,0.27,0.27,2.87,2,6.67,,,,0.2,0.1,0.2
54,Gomes,Joao,Gomes,2,3,55,0,0,a,100,,2026-08-23T17:30:08.367415Z,-0.5,-2,-2.0,39,1,0.0,44,40,0,0,0,4,0,1,0,0,-2,1.0,11.0,0.0,1.2,0.00,0.01,0.01,0.0,0.02,0.02,5.95,7,16.15,,,,-0.4,0.0,-0.5
55,Watkins,Ollie,Watkins,2,4,78,-2,0,u,0,Has joined Al Hilal permanently,2026-09-01T13:15:16.698799Z,0.0,0,0.0,0,0,2.9,0,5613,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
56,Abraham,Tammy,Abraham,2,4,55,0,0,a,100,,2026-08-15T16:00:07.558543Z,0.8,3,1.0,69,0,0.2,254,271,0,0,0,2,0,0,0,0,10,2.0,2.3,0.0,0.4,0.00,0.00,0.00,0.0,0.0,0.0,2.95,2,2.61,,,,0.5,0.8,0.8
160,Garnacho,Alejandro,Garnacho Ferreyra,2,3,58,-2,-1,a,,,,0.8,3,1.0,31,0,0.4,84,1162,0,0,0,0,0,0,0,0,9,1.2,3.6,0.0,0.5,0.00,0.00,0.00,0.0,0.0,0.0,1.42,2,5.81,,,,0.5,0.8,0.8
166,N.Jackson,Nicolas,Jackson,2,4,65,0,0,a,,,,1.0,4,1.3,199,3,1.3,1656,4608,0,0,1,1,1,0,0,0,21,5.4,23.4,22.0,5.1,0.24,0.58,0.82,0.11,0.26,0.37,0.73,5,2.26,2,,,0.6,1.0,1.0
582,Madjo,Brian,Madjo,2,4,54,-1,-1,i,0,Unspecified injury - Unknown return date,2026-08-15T16:00:07.974271Z,0.0,0,0.0,0,0,0.2,22,578,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
596,Ruggeri,Matteo,Ruggeri,2,2,45,0,0,a,,,,0.5,2,1.0,23,0,0.1,49,164,0,0,0,0,0,0,0,0,6,6.6,2.6,0.0,0.9,0.00,0.01,0.01,0.0,0.04,0.04,1.92,3,11.74,,,,0.4,0.5,0.5
597,Suzuki,Zion,Suzuki,2,1,50,0,0,a,,,,3.5,14,4.7,270,3,1.8,2702,1769,0,0,1,3,0,0,10,3,63,40.8,0.0,0.0,4.1,0.00,0.01,0.01,0.0,0.0,0.0,1.3,0,0.0,,,,2.8,3.5,3.5
606,Rowe,Triston,Rowe,2,2,40,0,0,a,,,,0.0,0,0.0,0,0,0.2,288,171,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
607,Lynch,Luka,Lynch,2,3,45,0,0,u,0,Has joined Oxford United on loan until January,2026-09-04T12:35:39.820426Z,0.0,0,0.0,0,0,0.1,0,196,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
611,Wan-Bissaka,Aaron,Wan-Bissaka,2,2,45,0,0,a,,,,1.7,5,1.7,107,1,0.2,553,171,0,0,0,2,0,0,0,0,18,6.4,1.7,0.0,0.8,0.00,0.06,0.06,0.0,0.05,0.05,2.21,15,12.62,,,,1.1,1.7,1.7
618,Goretzka,Leon,Goretzka,2,3,60,0,0,i,0,Knee injury - Expected back 10 Oct,2026-09-09T09:30:08.229436Z,0.0,0,0.0,0,0,0.0,5,310,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
630,Harwood-Bellis,Taylor,Harwood-Bellis,2,2,45,0,0,a,,,,0.0,0,0.0,0,0,0.0,42,54,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
631,Mbaye,Ibrahim,Mbaye,2,3,60,0,0,a,,,,0.5,1,1.0,27,0,0.1,241,198,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,0.0,0.02,0.13,0.15,0.07,0.43,0.5,2.87,2,6.67,,,,0.2,0.5,0.5
57,Petrović,Đorđe,Petrović,3,1,45,0,0,a,,,,1.8,7,1.8,360,4,3.2,827,2616,0,0,0,7,0,0,9,0,33,74.0,0.0,0.0,7.4,0.00,0.00,0.00,0.0,0.0,0.0,1.32,0,0.0,,,,1.6,1.8,1.8
58,Forster,Fraser,Forster,3,1,40,0,0,a,,,,0.0,0,0.0,0,0,3.4,2366,1133,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
59,Dennis,Will,Dennis,3,1,40,0,0,u,0,Has joined MK Dons permanently,2026-08-27T14:53:48.692835Z,0.0,0,0.0,0,0,0.1,0,126,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
60,Hill,James,Hill,3,2,55,0,0,a,,,,2.0,8,2.0,360,4,0.8,449,1072,0,0,0,7,1,0,0,0,28,54.0,52.8,6.0,11.3,0.00,0.77,0.77,0.0,0.19,0.19,1.32,35,8.75,,,,1.5,2.0,2.0
61,Truffert,Adrien,Truffert,3,2,55,0,0,a,,,,2.0,8,2.0,360,4,3.4,804,2910,0,0,0,7,1,0,0,2,47,53.4,40.7,6.0,10.1,0.09,0.23,0.32,0.02,0.06,0.08,1.32,38,9.5,,,,1.5,2.0,2.0
62,Diakité,Bafodé,Diakité,3,2,50,0,0,a,,,,0.0,0,0.0,0,0,0.2,106,313,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
63,Milosavljević,Veljko,Milosavljevic,3,2,49,-1,-1,i,0,Thigh injury - Unknown return date,2026-08-06T10:00:10.456051Z,0.0,0,0.0,0,0,0.0,5,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
64,Smith,Adam,Smith,3,2,45,0,0,a,,,,0.5,2,0.5,360,4,0.1,127,199,0,0,0,7,3,0,0,0,11,32.2,41.6,4.0,7.8,0.01,0.07,0.08,0.0,0.02,0.02,1.32,21,5.25,,,,0.4,0.5,0.5
65,J.Araujo,Julián,Araujo Zúñiga,3,2,44,-1,0,i,0,Thigh injury - Unknown return date,2026-08-09T08:00:05.645826Z,0.0,0,0.0,0,0,0.0,7,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
66,Soler,Julio,Soler Barreto,3,2,40,0,0,a,100,,2026-08-15T16:30:07.021055Z,0.0,0,0.0,0,0,0.3,381,223,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
67,Rayan,Rayan Vitor,Simplício Rocha,3,3,64,-1,0,a,,,,2.0,8,2.0,347,4,1.9,327,5175,0,0,0,6,0,0,0,0,28,16.4,15.7,71.0,10.4,0.87,0.08,0.95,0.23,0.02,0.25,1.28,11,2.85,,,,1.2,2.0,2.0
68,Tavernier,Marcus,Tavernier,3,3,60,0,0,a,,,,7.2,29,7.2,350,4,4.0,29473,2867,3,0,0,7,2,0,0,8,139,101.6,68.7,106.0,27.6,1.70,0.81,2.51,0.44,0.21,0.65,1.32,36,9.26,3,1,1,4.8,7.2,7.2
69,Scott,Alex,Scott,3,3,61,1,0,a,,,,7.0,28,7.0,356,4,5.9,12298,8184,1,2,1,6,1,0,0,5,112,72.4,59.8,33.0,16.5,0.52,0.35,0.87,0.13,0.09,0.22,1.31,52,13.15,,2,4,4.6,7.0,7.0
70,Kluivert,Justin,Kluivert,3,3,60,0,0,a,,,,3.8,15,3.8,294,4,1.0,1743,956,1,0,2,3,1,0,0,1,64,22.2,43.2,77.0,13.9,0.99,0.08,1.07,0.3,0.02,0.32,1.37,22,6.73,2,3,2,2.5,3.8,3.8
71,Cook,Lewis,Cook,3,3,50,0,0,a,,,,1.8,7,1.8,165,2,0.2,101,556,0,0,2,1,1,0,0,0,22,8.4,15.2,0.0,2.4,0.00,0.01,0.01,0.0,0.01,0.01,2.15,12,6.55,,,,1.4,1.8,1.8
72,Gannon-Doak,Ben,Gannon-Doak,3,3,49,-1,0,a,,,,0.8,3,1.0,10,0,0.1,40,91,0,0,0,1,0,0,0,0,12,2.2,0.6,7.0,1.0,0.12,0.03,0.15,1.08,0.27,1.35,3.15,7,63.0,,,,0.6,0.8,0.8
73,Adams,Tyler,Adams,3,3,50,0,0,a,100,,2026-08-15T16:30:07.029928Z,2.0,8,2.0,192,2,0.3,355,514,0,0,0,6,0,0,0,0,39,17.4,13.4,0.0,3.1,0.03,0.03,0.06,0.01,0.01,0.02,0.63,28,13.12,,,,1.6,2.0,2.0
74,Brooks,David,Brooks,3,3,50,0,0,a,100,,2026-08-15T16:30:07.037929Z,0.5,2,0.7,30,0,0.1,48,117,0,0,0,2,1,0,0,0,4,0.0,1.6,0.0,0.1,0.00,0.01,0.01,0.0,0.03,0.03,1.5,3,9.0,,4,3,0.4,0.5,0.5
75,Christie,Ryan,Christie,3,3,50,0,0,a,100,,2026-07-24T17:30:10.035483Z,0.8,3,1.0,28,0,0.0,62,73,0,0,0,1,0,0,0,0,15,2.8,0.3,0.0,0.3,0.00,0.12,0.12,0.0,0.39,0.39,0.77,9,28.93,,,,0.6,0.8,0.8
76,Tóth.A,Alex,Tóth,3,3,50,0,0,a,,,,0.2,1,1.0,15,0,0.0,12,10,0,0,0,2,0,0,0,0,5,2.8,0.6,0.0,0.3,0.00,0.00,0.00,0.0,0.0,0.0,1.86,2,12.0,,,,0.2,0.2,0.2
77,Adli,Amine,Adli,3,3,49,-1,0,i,0,Calf injury - Unknown return date,2026-08-15T16:00:07.590566Z,0.0,0,0.0,0,0,0.0,5,35,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
78,Kroupi.Jr,Junior,Kroupi,3,3,74,-1,0,i,0,Foot injury - Expected back 7 Nov,2026-07-29T17:30:09.796802Z,0.0,0,0.0,0,0,0.2,21,273,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,1,,,0.0,0.0,0.0
79,Evanilson,Francisco Evanilson,de Lima Barbosa,3,4,60,0,0,a,,,,4.0,16,4.0,334,4,3.3,5920,3674,0,3,2,4,1,0,0,0,54,37.6,39.2,45.0,12.1,0.71,0.51,1.22,0.19,0.14,0.33,1.29,22,5.93,,,,2.7,4.0,4.0
80,Enes Ünal,Enes,Ünal,3,4,55,0,0,u,0,Has joined Getafe permanently,2026-08-14T14:14:21.881112Z,0.0,0,0.0,0,0,0.0,0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
81,Rodríguez,Álvaro,Rodríguez,3,4,60,0,0,a,100,,2026-08-15T16:30:07.054142Z,0.5,2,1.0,10,0,0.1,79,151,0,0,0,1,0,0,0,0,7,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,1.62,1,9.0,,,,0.3,0.5,0.5
566,Silva,António João,Pereira de Albuquerque Tavares da Silva,3,2,50,0,0,a,,,,2.5,10,2.5,360,4,0.4,196,421,0,0,0,7,1,0,0,0,22,73.8,3.3,30.0,10.7,0.85,0.27,1.12,0.21,0.07,0.28,1.32,41,10.25,,,,2.0,2.5,2.5
